Date de l’événement;Type d'événement;Nom de l'événement
25/12/2023;Feu;Christmas Day Peak : Augmentation statistiquement significative des incendies de cuisine (cuisson domestique) et des feux liés aux décorations/bougies. Effectifs en mode astreinte festive mais volume d'appels domestiques concentré l'après-midi.
02/01/2024;Inondation;Tempête Henk : Incidents vent/eau, trajets ralentis par les débris.
04/01/2024;Inondation;Tempête Henk (Suite) : Sols saturés, structures instables.
29/01/2024;Tempête;Tempête Ingunn : Rafales violentes, chutes d'arbres.
01/03/2024;Inondation;Sols saturés (Printemps 2024) : Inondations urbaines fréquentes.
06/03/2024;Feu;Forest Gate fire : 30 camions, incendie toiture massif, saturation Est.
29/04/2024;Sécurité;Hainault attack : Mobilisation multi-agences, impact Redbridge.
20/06/2024;Canicule;Alerte chaleur juin : Hausse des incidents Outdoor.
20/07/2024;Canicule;Pic thermique juillet : Hausse Secondary Fires (Dagenham sollicitée).
26/07/2024;Feu;Third Avenue Dagenham (2024) : 15 camions, saturation secteur Est.
17/08/2024;Inondation;Orages d'août : Pluies soudaines, saturation ponctuelle 999.
26/08/2024;Feu;Freshwater Road (Spectrum Bldg) : Incident complexe, saturation secteur Est.
07/09/2024;Inondation;Vigilance Orages : Perturbations locales par routes inondées.
08/09/2024;Inondation;Orages violents : Inondations éclair localisées, pic d'appels.
19/09/2024;Inondation;Alerte Pluie Ambre : Début d'épisode extrême, mobilisation accrue.
21/09/2024;Inondation;Pluies torrentielles : Saturation réseau, hausse temps de réponse.
23/09/2024;Inondation;Cumul Pluie : Équivalent d'un mois de pluie, Batch Mobilising.
23/11/2024;Tempête;Tempête Bert (Vents) : Chutes d'arbres, micro-incidents multiples.
24/11/2024;Tempête;Tempête Bert (Pluies) : Inondations faisant suite aux vents.
31/12/2024;Sécurité;New Year's Eve : Volume d'appels maximal, déploiement centre-ville.
05/01/2025;Feu;Pic Hivernal : Fort volume d'incidents de chauffage.
11/01/2025;Feu;Industrial Risk : Risque accru zones d'entrepôts.
12/01/2025;Feu;Southall warehouse fire : Major incident, impact disponibilité Ouest.
14/02/2025;Tempête;Winter Gale : Vents violents, impact vitesse d'intervention.
20/03/2025;Feu;North Hyde Substation : Fermeture Heathrow, impact logistique majeur.
01/05/2025;Sécurité;May Day : Congestion routière majeure au centre.
24/05/2025;Sécurité;Bank Holiday : Hausse trafic et incidents loisirs (barbecues).
29/05/2025;Grève;Grève des transports : Congestion prévue, impact disponibilité.
19/06/2025;Canicule;Alerte chaleur précoce : Hausse incidents herbe sèche/clim.
21/06/2025;Grève;Grève Rail/Tube : Congestion extrême le samedi, impact Travel Time.
04/07/2025;Sécurité;Impact électoral/public : Manifestations et congestion.
11/07/2025;Canicule;Pré-pic thermique : Début séquence chaleur intense.
14/07/2025;Canicule;Heatwave Alert L2 : Hausse appels malaises publics.
15/07/2025;Canicule;Heatwave Alert L3 : Fatigue équipages, hausse temps de réponse.
16/07/2025;Canicule;Dagenham wildfire : Volume critique, fumée, barrages.
17/07/2025;Canicule;Heat & Thunderstorm : Cumul incendies/inondations éclair.
19/07/2025;Canicule;Vigilance Anniversaire 2022 : Risque de chaleur extrême.
20/08/2025;Canicule;Chaleur tardive : Feux de végétation sur sols secs.
06/09/2025;Inondation;Orages fin été : Flash Flooding après été sec.
09/10/2025;Inondation;Pluies d'Automne : Saturation réseaux drainage urbain.
22/11/2025;Tempête;Winter Storm Risk : Conditions météo dégradées.
25/11/2025;Froid;Froid précoce : Incendies domestiques et gel.
